User Story #,Role,Full Story,Status,What Exists Today,What's Missing,Recommended Next Step,Build Type,Notes
US-312,Event Coordinator,"As a event coordinator I want to track volunteer participation at events so that I can manage volunteer resources effectively",Partial / Model Mismatch,"VMQS tracks volunteers via Job Position Assignments; status and hours (ActualDuration) on assignments; role via Position/Job Position; reports by initiative/shift/site; Mark Complete and Mark Absent quick actions","Stories expect Campaign and Campaign Member not Volunteer Management objects; no Campaign-based volunteer tracking configured; Volunteer Role/Status not on Contact as described; site-level sharing not configured","Reframe story to Volunteer Initiative / Job Position Assignment model; create sample initiative data; validate reports and attendance quick actions",Configuration + Reframe,"Context in source CSV says events use Campaign/Campaign Member; current org uses NPC Volunteer Management (Volunteer Initiative → Job Position → Job Position Shift → Job Position Assignment)"
US-313,Event Coordinator,"As a event coordinator I want to flag certain contacts as non-solicitationable so that I can respect corporate partner restrictions on fundraising outreach",Missing,"Fundraising licensed in org; standard Contact object exists","No Non-Solicitable field on Contact; no campaign or fundraising outreach exclusion logic; no compliance reports; field-level security not defined","Add Non_Solicitable__c checkbox on Contact; create list views and report filters; document fundraising exclusion process",Custom Build,"Fundraising_User permission set assigned to admin but no solicitation controls configured"
US-320,Program Manager,"As a Program Manager I want to allow Volunteers to manage their own shifts so that we can reduce the administrative burden on staff",Partial,"Guest signup Experience Cloud site (sign up only); VMQS Sign Up Guest User flow creates assignments; capacity fields on shifts (MaximumAttendeesCount RemainingCapacity); staff can assign via quick actions","No portal for volunteers to view all shifts update or cancel; no logged-in Experience Cloud member site; signup flow does not enforce capacity or waitlist; no self-service after initial signup","Extend Experience Cloud with logged-in volunteer portal OR build cancel/reschedule flows; add capacity check to signup flow",Custom Build,"Experience Cloud site is Live with guest access only; guest user has create-only on Job Position Assignment due to missing Volunteer Management Guest Access PSL in scratch org"
US-321,Program Manager,"As a Program Manager I want to easily see volunteer availability and skills so that I can match volunteers to appropriate opportunities",Partial,"NPC PersonCompetency for skills; PersonLocationAvailability and Operating Hours; standard Search Volunteers interface; VMQS proficiency mapping flows; qualification links on positions","Not simple Contact fields — uses NPC competency/availability model; Interest Tags and Group Membership may not be enabled; Search Volunteers needs competencies and locations configured; no sample volunteer data","Enable Group Membership and Interest Tags; configure Person Competencies and Location Availability; create sample volunteers and test Search Volunteers",Configuration,"VMQS maps skills to Competencies (not Contact.Skills__c); availability via PersonLocationAvailability not preferred days/times fields on Contact"
US-328,Volunteer Coordinator,"As a Volunteer Coordinator I want to automatically update volunteer hours and statuses after an event so that I don't have to manually update each record and reduce duplicate work",Partial,"Manual Mark Complete and Mark Absent quick actions; ActualDuration on Job Position Assignment; sample rollup flows (VMQS_Rollup_Volunteer_Initiative VMQS_Rollup_Jop_Position_Shift)","No automation when initiative or shift marked Completed; hours not auto-applied from event duration; no duplicate-prevention logic; rollup flows are sample/low-volume only per VMQS docs","Build record-triggered flow: when shift/initiative status → Completed update related assignment hours and status",Custom Build,"Overlaps with US-312 event completion concept; VM data model uses Job Position Assignment not Campaign Member"
US-329,Volunteer Coordinator,"As a Volunteer Coordinator I want to send automated reminders to volunteers about upcoming shifts so that we reduce no-shows",Missing,"Email infrastructure available; VMQS README suggests scheduled flows as optional post-install step","No reminder flow; no email templates with merge fields; no activity logging on Contact; no configurable reminder timing; no reminder status reporting","Build scheduled flow on Job Position Assignment + email templates (24-48 hr before shift); log sent emails as activities",Custom Build,"VMQS explicitly does not include reminders out of the box"
US-330,Volunteer Coordinator,"As a Volunteer Coordinator I want to manage waitlists for volunteer shifts effectively so that we can fill openings when cancellations occur",Missing,"Capacity tracking on shifts (MaximumAttendeesCount RemainingCapacity); Shift Capacity report in VMQS","No waitlist object or status field; no auto-add to waitlist when capacity reached; no promotion flow on cancellation; no waitlist notifications; no waitlist order management","Design waitlist model (status field or child object) + promotion flow + notification on promote",Custom Build,"RemainingCapacity field exists but no waitlist workflow"
US-331,Volunteer Coordinator,"As a Volunteer Coordinator I want to recognize volunteer milestones (e.g. hours contributed) so that I can acknowledge and appreciate their contributions",Missing,"Hours recorded on individual Job Position Assignments (ActualDuration); some rollup fields on Volunteer Initiative via sample flows","No cumulative volunteer hours on Contact/Person Account; no configurable milestone thresholds; no milestone flags alerts or tasks; no milestone reports","Build cumulative hours rollup (flow DPE or DLRS) + milestone custom metadata + alert flow when threshold reached",Custom Build,"VMQS tracks hours per assignment not lifetime totals on Contact"
US-340,Data Analyst,"As a Data Analyst I want to improve data quality for volunteer affiliations and employer information so that reporting is accurate and reliable",Partial,"Person Accounts enabled; Contacts to Multiple Accounts feature in scratch org; AccountContactRelation object available","No standardized employer/affiliation fields beyond standard; no validation rules or picklists for affiliation types; no duplicate detection for employers; no data quality dashboards or cleanup reports","Add affiliation validation rules; configure duplicate rules on Account; build data quality reports for missing/inconsistent affiliations",Custom Build + Configuration,"ACR supports employer-as-Account pattern but not enforced"
US-341,Data Analyst,"As a Data Analyst I want to track additional data points such as volunteer skills and availability so that we can better match volunteers to opportunities",Partial,"Same as US-321: PersonCompetency PersonLocationAvailability Search Volunteers NPC model","Skills and availability not on Contact as specified in acceptance criteria; reporting by skills/availability needs configuration and sample data","Same as US-321 — configure competencies availability and reports; overlaps heavily with US-321",Configuration,"Duplicate intent with US-321 from data analyst perspective"
US-68,System Administrator,"As a System Administrator I want to explore solutions to integrate shadow systems (e.g. spreadsheets) into Salesforce so that all volunteer data is in one place",Partial,"Standard Data Import Wizard; NPC Volunteer Management data model in place; Person Accounts enabled","No standardized import template; no documented field mapping for VM objects; no duplicate matching rules for volunteer imports; no import audit reporting; no integration automation","Create CSV import template + mapping guide for Person Account and Job Position Assignment; configure duplicate rules",Configuration + Documentation,"Standard Salesforce import works but no VMQS-specific import tooling"
US-69,System Administrator,"As a System Administrator I want to minimize the number of clicks required to update volunteer attendance so that the process is more efficient",Partial,"Mark Complete and Mark Absent quick actions on Job Position Assignment; Mass_Quick_Update_Field__c helper; VMQS home page with inline-edit list views","Not verified end-to-end in org; bulk list view updates may need list view and action configuration; not one-click from Campaign/event record as stories describe","Configure list views on shifts with related assignments; validate quick actions from list views; test inline edit on VMQS home page",Configuration,"Quick actions exist in package; needs org validation with sample data"
